frame.number,frame.time,ip.src,ip.len,ip.dst,ip.proto,tcp.srcport,tcp.dstport,tcp.ack,tcp.flags
"1","Mar 21, 2024 18:07:44.770464000 UTC","172.28.0.2","60","23.45.148.131","6","38150","443","0","0x0002"
"2","Mar 21, 2024 18:07:44.788418000 UTC","23.45.148.131","60","172.28.0.2","6","443","38150","1","0x0012"
"3","Mar 21, 2024 18:07:44.788663000 UTC","172.28.0.2","52","23.45.148.131","6","38150","443","1","0x0010"
"4","Mar 21, 2024 18:07:44.791507000 UTC","172.28.0.2","569","23.45.148.131","6","38150","443","1","0x0018"
"5","Mar 21, 2024 18:07:44.808761000 UTC","23.45.148.131","52","172.28.0.2","6","443","38150","518","0x0010"
"6","Mar 21, 2024 18:07:44.809465000 UTC","23.45.148.131","2948","172.28.0.2","6","443","38150","518","0x0018"
"7","Mar 21, 2024 18:07:44.809616000 UTC","172.28.0.2","52","23.45.148.131","6","38150","443","2897","0x0010"
"8","Mar 21, 2024 18:07:44.809467000 UTC","23.45.148.131","1252","172.28.0.2","6","443","38150","518","0x0018"
"9","Mar 21, 2024 18:07:44.809725000 UTC","172.28.0.2","52","23.45.148.131","6","38150","443","4097","0x0010"
"10","Mar 21, 2024 18:07:44.809993000 UTC","23.45.148.131","162","172.28.0.2","6","443","38150","518","0x0018"
"11","Mar 21, 2024 18:07:44.810071000 UTC","172.28.0.2","52","23.45.148.131","6","38150","443","4207","0x0010"
"12","Mar 21, 2024 18:07:44.812021000 UTC","172.28.0.2","132","23.45.148.131","6","38150","443","4207","0x0018"
"13","Mar 21, 2024 18:07:44.812249000 UTC","172.28.0.2","98","23.45.148.131","6","38150","443","4207","0x0018"
"14","Mar 21, 2024 18:07:44.812325000 UTC","172.28.0.2","101","23.45.148.131","6","38150","443","4207","0x0018"
"15","Mar 21, 2024 18:07:44.812423000 UTC","172.28.0.2","87","23.45.148.131","6","38150","443","4207","0x0018"
"16","Mar 21, 2024 18:07:44.812517000 UTC","172.28.0.2","114","23.45.148.131","6","38150","443","4207","0x0018"
"17","Mar 21, 2024 18:07:44.829489000 UTC","23.45.148.131","339","172.28.0.2","6","443","38150","598","0x0018"
"18","Mar 21, 2024 18:07:44.829491000 UTC","23.45.148.131","339","172.28.0.2","6","443","38150","598","0x0018"
"19","Mar 21, 2024 18:07:44.829492000 UTC","23.45.148.131","52","172.28.0.2","6","443","38150","728","0x0010"
"20","Mar 21, 2024 18:07:44.829958000 UTC","23.45.148.131","113","172.28.0.2","6","443","38150","790","0x0018"
"21","Mar 21, 2024 18:07:44.829960000 UTC","23.45.148.131","83","172.28.0.2","6","443","38150","790","0x0018"
"22","Mar 21, 2024 18:07:44.830449000 UTC","172.28.0.2","83","23.45.148.131","6","38150","443","4873","0x0018"
"23","Mar 21, 2024 18:07:44.842446000 UTC","23.45.148.131","561","172.28.0.2","6","443","38150","790","0x0018"
"24","Mar 21, 2024 18:07:44.842712000 UTC","23.45.148.131","2948","172.28.0.2","6","443","38150","790","0x0018"
"25","Mar 21, 2024 18:07:44.842713000 UTC","23.45.148.131","2948","172.28.0.2","6","443","38150","790","0x0018"
"26","Mar 21, 2024 18:07:44.842714000 UTC","23.45.148.131","2948","172.28.0.2","6","443","38150","790","0x0018"
"27","Mar 21, 2024 18:07:44.842715000 UTC","23.45.148.131","2948","172.28.0.2","6","443","38150","790","0x0018"
"28","Mar 21, 2024 18:07:44.843016000 UTC","172.28.0.2","52","23.45.148.131","6","38150","443","16966","0x0010"
"29","Mar 21, 2024 18:07:44.843240000 UTC","23.45.148.131","2948","172.28.0.2","6","443","38150","790","0x0018"
"30","Mar 21, 2024 18:07:44.843324000 UTC","172.28.0.2","52","23.45.148.131","6","38150","443","19862","0x0010"
"31","Mar 21, 2024 18:07:44.844414000 UTC","23.45.148.131","1500","172.28.0.2","6","443","38150","790","0x0010"
"32","Mar 21, 2024 18:07:44.844501000 UTC","172.28.0.2","52","23.45.148.131","6","38150","443","21310","0x0010"
"33","Mar 21, 2024 18:07:44.847679000 UTC","23.45.148.131","2948","172.28.0.2","6","443","38150","821","0x0018"
"34","Mar 21, 2024 18:07:44.847973000 UTC","172.28.0.2","52","23.45.148.131","6","38150","443","24206","0x0010"
"35","Mar 21, 2024 18:07:44.848112000 UTC","23.45.148.131","2948","172.28.0.2","6","443","38150","821","0x0018"
"36","Mar 21, 2024 18:07:44.848178000 UTC","172.28.0.2","52","23.45.148.131","6","38150","443","27102","0x0010"
"37","Mar 21, 2024 18:07:44.848924000 UTC","23.45.148.131","2948","172.28.0.2","6","443","38150","821","0x0018"
"38","Mar 21, 2024 18:07:44.849028000 UTC","172.28.0.2","52","23.45.148.131","6","38150","443","29998","0x0010"
"39","Mar 21, 2024 18:07:44.849787000 UTC","23.45.148.131","2948","172.28.0.2","6","443","38150","821","0x0018"
"40","Mar 21, 2024 18:07:44.849899000 UTC","172.28.0.2","52","23.45.148.131","6","38150","443","32894","0x0010"
