frame.number,frame.time,ip.src,ip.len,ip.dst,ip.proto,tcp.srcport,tcp.dstport,tcp.ack,tcp.flags
"1","Mar 21, 2024 17:58:41.305243000 UTC","172.28.0.2","60","23.74.7.123","6","37738","443","0","0x0002"
"2","Mar 21, 2024 17:58:41.324541000 UTC","23.74.7.123","60","172.28.0.2","6","443","37738","1","0x0012"
"3","Mar 21, 2024 17:58:41.324724000 UTC","172.28.0.2","52","23.74.7.123","6","37738","443","1","0x0010"
"4","Mar 21, 2024 17:58:41.327511000 UTC","172.28.0.2","569","23.74.7.123","6","37738","443","1","0x0018"
"5","Mar 21, 2024 17:58:41.346691000 UTC","23.74.7.123","52","172.28.0.2","6","443","37738","518","0x0010"
"6","Mar 21, 2024 17:58:41.348233000 UTC","23.74.7.123","2948","172.28.0.2","6","443","37738","518","0x0018"
"7","Mar 21, 2024 17:58:41.348384000 UTC","172.28.0.2","52","23.74.7.123","6","37738","443","2897","0x0010"
"8","Mar 21, 2024 17:58:41.348235000 UTC","23.74.7.123","691","172.28.0.2","6","443","37738","518","0x0018"
"9","Mar 21, 2024 17:58:41.348440000 UTC","172.28.0.2","52","23.74.7.123","6","37738","443","3536","0x0010"
"10","Mar 21, 2024 17:58:41.350569000 UTC","172.28.0.2","132","23.74.7.123","6","37738","443","3536","0x0018"
"11","Mar 21, 2024 17:58:41.350813000 UTC","172.28.0.2","98","23.74.7.123","6","37738","443","3536","0x0018"
"12","Mar 21, 2024 17:58:41.350872000 UTC","172.28.0.2","101","23.74.7.123","6","37738","443","3536","0x0018"
"13","Mar 21, 2024 17:58:41.350913000 UTC","172.28.0.2","87","23.74.7.123","6","37738","443","3536","0x0018"
"14","Mar 21, 2024 17:58:41.350972000 UTC","172.28.0.2","112","23.74.7.123","6","37738","443","3536","0x0018"
"15","Mar 21, 2024 17:58:41.369778000 UTC","23.74.7.123","339","172.28.0.2","6","443","37738","598","0x0018"
"16","Mar 21, 2024 17:58:41.369976000 UTC","23.74.7.123","339","172.28.0.2","6","443","37738","644","0x0018"
"17","Mar 21, 2024 17:58:41.369977000 UTC","23.74.7.123","52","172.28.0.2","6","443","37738","788","0x0010"
"18","Mar 21, 2024 17:58:41.370214000 UTC","172.28.0.2","52","23.74.7.123","6","37738","443","4110","0x0010"
"19","Mar 21, 2024 17:58:41.373591000 UTC","23.74.7.123","113","172.28.0.2","6","443","37738","788","0x0018"
"20","Mar 21, 2024 17:58:41.373593000 UTC","23.74.7.123","83","172.28.0.2","6","443","37738","788","0x0018"
"21","Mar 21, 2024 17:58:41.373873000 UTC","172.28.0.2","83","23.74.7.123","6","37738","443","4202","0x0018"
"22","Mar 21, 2024 17:58:41.376002000 UTC","23.74.7.123","519","172.28.0.2","6","443","37738","788","0x0018"
"23","Mar 21, 2024 17:58:41.376004000 UTC","23.74.7.123","2948","172.28.0.2","6","443","37738","788","0x0018"
"24","Mar 21, 2024 17:58:41.376005000 UTC","23.74.7.123","2948","172.28.0.2","6","443","37738","788","0x0018"
"25","Mar 21, 2024 17:58:41.376205000 UTC","23.74.7.123","2948","172.28.0.2","6","443","37738","788","0x0018"
"26","Mar 21, 2024 17:58:41.376206000 UTC","23.74.7.123","2948","172.28.0.2","6","443","37738","788","0x0018"
