frame.number,frame.time,ip.src,ip.len,ip.dst,ip.proto,tcp.srcport,tcp.dstport,tcp.ack,tcp.flags
"1","Mar 21, 2024 18:05:51.910998000 UTC","172.28.0.2","60","99.84.252.40","6","45244","443","0","0x0002"
"2","Mar 21, 2024 18:05:51.930941000 UTC","99.84.252.40","60","172.28.0.2","6","443","45244","1","0x0012"
"3","Mar 21, 2024 18:05:51.931177000 UTC","172.28.0.2","52","99.84.252.40","6","45244","443","1","0x0010"
"4","Mar 21, 2024 18:05:51.934114000 UTC","172.28.0.2","569","99.84.252.40","6","45244","443","1","0x0018"
"5","Mar 21, 2024 18:05:51.953418000 UTC","99.84.252.40","52","172.28.0.2","6","443","45244","518","0x0010"
"6","Mar 21, 2024 18:05:51.954716000 UTC","99.84.252.40","4336","172.28.0.2","6","443","45244","518","0x0018"
"7","Mar 21, 2024 18:05:51.954943000 UTC","172.28.0.2","52","99.84.252.40","6","45244","443","4285","0x0010"
"8","Mar 21, 2024 18:05:51.956204000 UTC","99.84.252.40","1318","172.28.0.2","6","443","45244","518","0x0018"
"9","Mar 21, 2024 18:05:51.956325000 UTC","172.28.0.2","52","99.84.252.40","6","45244","443","5551","0x0010"
"10","Mar 21, 2024 18:05:51.958851000 UTC","172.28.0.2","116","99.84.252.40","6","45244","443","5551","0x0018"
"11","Mar 21, 2024 18:05:51.959125000 UTC","172.28.0.2","98","99.84.252.40","6","45244","443","5551","0x0018"
"12","Mar 21, 2024 18:05:51.959210000 UTC","172.28.0.2","101","99.84.252.40","6","45244","443","5551","0x0018"
"13","Mar 21, 2024 18:05:51.959268000 UTC","172.28.0.2","87","99.84.252.40","6","45244","443","5551","0x0018"
"14","Mar 21, 2024 18:05:51.959383000 UTC","172.28.0.2","116","99.84.252.40","6","45244","443","5551","0x0018"
"15","Mar 21, 2024 18:05:51.978213000 UTC","99.84.252.40","52","172.28.0.2","6","443","45244","582","0x0010"
"16","Mar 21, 2024 18:05:51.978462000 UTC","99.84.252.40","52","172.28.0.2","6","443","45244","628","0x0010"
"17","Mar 21, 2024 18:05:51.978463000 UTC","99.84.252.40","52","172.28.0.2","6","443","45244","677","0x0010"
"18","Mar 21, 2024 18:05:51.978464000 UTC","99.84.252.40","52","172.28.0.2","6","443","45244","712","0x0010"
"19","Mar 21, 2024 18:05:51.978465000 UTC","99.84.252.40","198","172.28.0.2","6","443","45244","712","0x0018"
"20","Mar 21, 2024 18:05:51.978644000 UTC","99.84.252.40","123","172.28.0.2","6","443","45244","776","0x0018"
"21","Mar 21, 2024 18:05:51.978914000 UTC","172.28.0.2","52","99.84.252.40","6","45244","443","5768","0x0010"
"22","Mar 21, 2024 18:05:51.979029000 UTC","172.28.0.2","83","99.84.252.40","6","45244","443","5768","0x0018"
"23","Mar 21, 2024 18:05:51.981433000 UTC","99.84.252.40","4336","172.28.0.2","6","443","45244","776","0x0018"
"24","Mar 21, 2024 18:05:51.981435000 UTC","99.84.252.40","4336","172.28.0.2","6","443","45244","776","0x0018"
"25","Mar 21, 2024 18:05:51.981727000 UTC","172.28.0.2","52","99.84.252.40","6","45244","443","14336","0x0010"
"26","Mar 21, 2024 18:05:51.982232000 UTC","99.84.252.40","4336","172.28.0.2","6","443","45244","776","0x0018"
"27","Mar 21, 2024 18:05:51.982361000 UTC","172.28.0.2","52","99.84.252.40","6","45244","443","18620","0x0010"
"28","Mar 21, 2024 18:05:51.983031000 UTC","99.84.252.40","4336","172.28.0.2","6","443","45244","776","0x0018"
"29","Mar 21, 2024 18:05:51.983151000 UTC","172.28.0.2","52","99.84.252.40","6","45244","443","22904","0x0010"
"30","Mar 21, 2024 18:05:51.983872000 UTC","99.84.252.40","4336","172.28.0.2","6","443","45244","776","0x0018"
"31","Mar 21, 2024 18:05:51.984017000 UTC","172.28.0.2","52","99.84.252.40","6","45244","443","27188","0x0010"
"32","Mar 21, 2024 18:05:51.984709000 UTC","99.84.252.40","4336","172.28.0.2","6","443","45244","776","0x0018"
"33","Mar 21, 2024 18:05:51.984858000 UTC","172.28.0.2","52","99.84.252.40","6","45244","443","31472","0x0010"
"34","Mar 21, 2024 18:05:51.985482000 UTC","99.84.252.40","4336","172.28.0.2","6","443","45244","776","0x0018"
"35","Mar 21, 2024 18:05:51.985616000 UTC","172.28.0.2","52","99.84.252.40","6","45244","443","35756","0x0010"
"36","Mar 21, 2024 18:05:51.986283000 UTC","99.84.252.40","4336","172.28.0.2","6","443","45244","776","0x0018"
"37","Mar 21, 2024 18:05:51.986430000 UTC","172.28.0.2","52","99.84.252.40","6","45244","443","40040","0x0010"
"38","Mar 21, 2024 18:05:51.987112000 UTC","99.84.252.40","1480","172.28.0.2","6","443","45244","776","0x0010"
"39","Mar 21, 2024 18:05:51.987192000 UTC","172.28.0.2","52","99.84.252.40","6","45244","443","41468","0x0010"
"40","Mar 21, 2024 18:05:51.987113000 UTC","99.84.252.40","2908","172.28.0.2","6","443","45244","776","0x0018"
"41","Mar 21, 2024 18:05:51.987368000 UTC","172.28.0.2","52","99.84.252.40","6","45244","443","44324","0x0010"
"42","Mar 21, 2024 18:05:51.998295000 UTC","99.84.252.40","4336","172.28.0.2","6","443","45244","776","0x0018"
"43","Mar 21, 2024 18:05:51.998606000 UTC","172.28.0.2","52","99.84.252.40","6","45244","443","48608","0x0010"
"44","Mar 21, 2024 18:05:52.000922000 UTC","99.84.252.40","4336","172.28.0.2","6","443","45244","807","0x0018"
"45","Mar 21, 2024 18:05:52.001122000 UTC","172.28.0.2","52","99.84.252.40","6","45244","443","52892","0x0010"
"46","Mar 21, 2024 18:05:52.001318000 UTC","99.84.252.40","4336","172.28.0.2","6","443","45244","807","0x0018"
"47","Mar 21, 2024 18:05:52.001414000 UTC","172.28.0.2","52","99.84.252.40","6","45244","443","57176","0x0010"
"48","Mar 21, 2024 18:05:52.002374000 UTC","99.84.252.40","1480","172.28.0.2","6","443","45244","807","0x0010"
"49","Mar 21, 2024 18:05:52.002498000 UTC","172.28.0.2","52","99.84.252.40","6","45244","443","58604","0x0010"
"50","Mar 21, 2024 18:05:52.002376000 UTC","99.84.252.40","4336","172.28.0.2","6","443","45244","807","0x0018"
"51","Mar 21, 2024 18:05:52.002613000 UTC","172.28.0.2","52","99.84.252.40","6","45244","443","62888","0x0010"
"52","Mar 21, 2024 18:05:52.003266000 UTC","99.84.252.40","4336","172.28.0.2","6","443","45244","807","0x0018"
"53","Mar 21, 2024 18:05:52.003391000 UTC","172.28.0.2","52","99.84.252.40","6","45244","443","67172","0x0010"
"54","Mar 21, 2024 18:05:52.004010000 UTC","99.84.252.40","4336","172.28.0.2","6","443","45244","807","0x0018"
"55","Mar 21, 2024 18:05:52.004113000 UTC","172.28.0.2","52","99.84.252.40","6","45244","443","71456","0x0010"
"56","Mar 21, 2024 18:05:52.005019000 UTC","99.84.252.40","4336","172.28.0.2","6","443","45244","807","0x0018"
"57","Mar 21, 2024 18:05:52.005124000 UTC","172.28.0.2","52","99.84.252.40","6","45244","443","75740","0x0010"
"58","Mar 21, 2024 18:05:52.005690000 UTC","99.84.252.40","4336","172.28.0.2","6","443","45244","807","0x0018"
"59","Mar 21, 2024 18:05:52.005805000 UTC","172.28.0.2","52","99.84.252.40","6","45244","443","80024","0x0010"
"60","Mar 21, 2024 18:05:52.006475000 UTC","99.84.252.40","4336","172.28.0.2","6","443","45244","807","0x0018"
"61","Mar 21, 2024 18:05:52.006577000 UTC","172.28.0.2","52","99.84.252.40","6","45244","443","84308","0x0010"
"62","Mar 21, 2024 18:05:52.007297000 UTC","99.84.252.40","4336","172.28.0.2","6","443","45244","807","0x0018"
"63","Mar 21, 2024 18:05:52.007413000 UTC","172.28.0.2","52","99.84.252.40","6","45244","443","88592","0x0010"
"64","Mar 21, 2024 18:05:52.008315000 UTC","99.84.252.40","1480","172.28.0.2","6","443","45244","807","0x0010"
"65","Mar 21, 2024 18:05:52.008402000 UTC","172.28.0.2","52","99.84.252.40","6","45244","443","90020","0x0010"
"66","Mar 21, 2024 18:05:52.008577000 UTC","99.84.252.40","4336","172.28.0.2","6","443","45244","807","0x0018"
"67","Mar 21, 2024 18:05:52.008654000 UTC","172.28.0.2","52","99.84.252.40","6","45244","443","94304","0x0010"
"68","Mar 21, 2024 18:05:52.009194000 UTC","99.84.252.40","4336","172.28.0.2","6","443","45244","807","0x0018"
"69","Mar 21, 2024 18:05:52.009296000 UTC","172.28.0.2","52","99.84.252.40","6","45244","443","98588","0x0010"
"70","Mar 21, 2024 18:05:52.010138000 UTC","99.84.252.40","4336","172.28.0.2","6","443","45244","807","0x0018"
"71","Mar 21, 2024 18:05:52.010252000 UTC","172.28.0.2","52","99.84.252.40","6","45244","443","102872","0x0010"
"72","Mar 21, 2024 18:05:52.010855000 UTC","99.84.252.40","4336","172.28.0.2","6","443","45244","807","0x0018"
"73","Mar 21, 2024 18:05:52.010964000 UTC","172.28.0.2","52","99.84.252.40","6","45244","443","107156","0x0010"
"74","Mar 21, 2024 18:05:52.017834000 UTC","99.84.252.40","5632","172.28.0.2","6","443","45244","807","0x0018"
"75","Mar 21, 2024 18:05:52.018066000 UTC","172.28.0.2","52","99.84.252.40","6","45244","443","112736","0x0010"
"76","Mar 21, 2024 18:05:52.020287000 UTC","99.84.252.40","5764","172.28.0.2","6","443","45244","807","0x0018"
"77","Mar 21, 2024 18:05:52.020482000 UTC","172.28.0.2","52","99.84.252.40","6","45244","443","118448","0x0010"
"78","Mar 21, 2024 18:05:52.020729000 UTC","99.84.252.40","3040","172.28.0.2","6","443","45244","807","0x0018"
"79","Mar 21, 2024 18:05:52.020916000 UTC","172.28.0.2","52","99.84.252.40","6","45244","443","121436","0x0010"
"80","Mar 21, 2024 18:05:52.021245000 UTC","99.84.252.40","5764","172.28.0.2","6","443","45244","807","0x0018"
"81","Mar 21, 2024 18:05:52.021395000 UTC","172.28.0.2","52","99.84.252.40","6","45244","443","127148","0x0010"
"82","Mar 21, 2024 18:05:52.022184000 UTC","99.84.252.40","5764","172.28.0.2","6","443","45244","807","0x0018"
"83","Mar 21, 2024 18:05:52.022314000 UTC","172.28.0.2","52","99.84.252.40","6","45244","443","132860","0x0010"
"84","Mar 21, 2024 18:05:52.023054000 UTC","99.84.252.40","5764","172.28.0.2","6","443","45244","807","0x0018"
"85","Mar 21, 2024 18:05:52.023149000 UTC","172.28.0.2","52","99.84.252.40","6","45244","443","138572","0x0010"
"86","Mar 21, 2024 18:05:52.023968000 UTC","99.84.252.40","5764","172.28.0.2","6","443","45244","807","0x0018"
"87","Mar 21, 2024 18:05:52.024079000 UTC","172.28.0.2","52","99.84.252.40","6","45244","443","144284","0x0010"
"88","Mar 21, 2024 18:05:52.025022000 UTC","99.84.252.40","5764","172.28.0.2","6","443","45244","807","0x0018"
"89","Mar 21, 2024 18:05:52.025128000 UTC","172.28.0.2","52","99.84.252.40","6","45244","443","149996","0x0010"
"90","Mar 21, 2024 18:05:52.025684000 UTC","99.84.252.40","2908","172.28.0.2","6","443","45244","807","0x0018"
"91","Mar 21, 2024 18:05:52.025783000 UTC","172.28.0.2","52","99.84.252.40","6","45244","443","152852","0x0010"
"92","Mar 21, 2024 18:05:52.026123000 UTC","99.84.252.40","5764","172.28.0.2","6","443","45244","807","0x0018"
