frame.number,frame.time,ip.src,ip.len,ip.dst,ip.proto,tcp.srcport,tcp.dstport,tcp.ack,tcp.flags
"1","Mar 21, 2024 18:02:38.560127000 UTC","172.28.0.2","60","23.222.193.123","6","44410","443","0","0x0002"
"2","Mar 21, 2024 18:02:38.578307000 UTC","23.222.193.123","60","172.28.0.2","6","443","44410","1","0x0012"
"3","Mar 21, 2024 18:02:38.578505000 UTC","172.28.0.2","52","23.222.193.123","6","44410","443","1","0x0010"
"4","Mar 21, 2024 18:02:38.581297000 UTC","172.28.0.2","569","23.222.193.123","6","44410","443","1","0x0018"
"5","Mar 21, 2024 18:02:38.598718000 UTC","23.222.193.123","52","172.28.0.2","6","443","44410","518","0x0010"
"6","Mar 21, 2024 18:02:38.600730000 UTC","23.222.193.123","2948","172.28.0.2","6","443","44410","518","0x0018"
"7","Mar 21, 2024 18:02:38.600898000 UTC","172.28.0.2","52","23.222.193.123","6","44410","443","2897","0x0010"
"8","Mar 21, 2024 18:02:38.600732000 UTC","23.222.193.123","827","172.28.0.2","6","443","44410","518","0x0018"
"9","Mar 21, 2024 18:02:38.601002000 UTC","172.28.0.2","52","23.222.193.123","6","44410","443","3672","0x0010"
"10","Mar 21, 2024 18:02:38.603098000 UTC","172.28.0.2","132","23.222.193.123","6","44410","443","3672","0x0018"
"11","Mar 21, 2024 18:02:38.603379000 UTC","172.28.0.2","98","23.222.193.123","6","44410","443","3672","0x0018"
"12","Mar 21, 2024 18:02:38.603450000 UTC","172.28.0.2","101","23.222.193.123","6","44410","443","3672","0x0018"
"13","Mar 21, 2024 18:02:38.603501000 UTC","172.28.0.2","87","23.222.193.123","6","44410","443","3672","0x0018"
"14","Mar 21, 2024 18:02:38.603571000 UTC","172.28.0.2","113","23.222.193.123","6","44410","443","3672","0x0018"
"15","Mar 21, 2024 18:02:38.620606000 UTC","23.222.193.123","339","172.28.0.2","6","443","44410","598","0x0018"
"16","Mar 21, 2024 18:02:38.620608000 UTC","23.222.193.123","339","172.28.0.2","6","443","44410","598","0x0018"
