frame.number,frame.time,ip.src,ip.len,ip.dst,ip.proto,tcp.srcport,tcp.dstport,tcp.ack,tcp.flags
"1","Mar 21, 2024 18:00:33.038679000 UTC","172.28.0.2","60","23.222.194.25","6","35478","443","0","0x0002"
"2","Mar 21, 2024 18:00:33.056611000 UTC","23.222.194.25","60","172.28.0.2","6","443","35478","1","0x0012"
"3","Mar 21, 2024 18:00:33.056798000 UTC","172.28.0.2","52","23.222.194.25","6","35478","443","1","0x0010"
"4","Mar 21, 2024 18:00:33.060722000 UTC","172.28.0.2","569","23.222.194.25","6","35478","443","1","0x0018"
"5","Mar 21, 2024 18:00:33.078201000 UTC","23.222.194.25","52","172.28.0.2","6","443","35478","518","0x0010"
"6","Mar 21, 2024 18:00:33.078634000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35478","518","0x0018"
"7","Mar 21, 2024 18:00:33.078848000 UTC","172.28.0.2","52","23.222.194.25","6","35478","443","2897","0x0010"
"8","Mar 21, 2024 18:00:33.078636000 UTC","23.222.194.25","1252","172.28.0.2","6","443","35478","518","0x0018"
"9","Mar 21, 2024 18:00:33.079018000 UTC","172.28.0.2","52","23.222.194.25","6","35478","443","4097","0x0010"
"10","Mar 21, 2024 18:00:33.079829000 UTC","23.222.194.25","1225","172.28.0.2","6","443","35478","518","0x0018"
"11","Mar 21, 2024 18:00:33.080000000 UTC","172.28.0.2","52","23.222.194.25","6","35478","443","5270","0x0010"
"12","Mar 21, 2024 18:00:33.082718000 UTC","172.28.0.2","132","23.222.194.25","6","35478","443","5270","0x0018"
"13","Mar 21, 2024 18:00:33.083085000 UTC","172.28.0.2","98","23.222.194.25","6","35478","443","5270","0x0018"
"14","Mar 21, 2024 18:00:33.083189000 UTC","172.28.0.2","101","23.222.194.25","6","35478","443","5270","0x0018"
"15","Mar 21, 2024 18:00:33.083277000 UTC","172.28.0.2","87","23.222.194.25","6","35478","443","5270","0x0018"
"16","Mar 21, 2024 18:00:33.085452000 UTC","172.28.0.2","114","23.222.194.25","6","35478","443","5270","0x0018"
"17","Mar 21, 2024 18:00:33.100087000 UTC","23.222.194.25","339","172.28.0.2","6","443","35478","598","0x0018"
"18","Mar 21, 2024 18:00:33.100524000 UTC","23.222.194.25","339","172.28.0.2","6","443","35478","598","0x0018"
"19","Mar 21, 2024 18:00:33.100526000 UTC","23.222.194.25","113","172.28.0.2","6","443","35478","644","0x0018"
"20","Mar 21, 2024 18:00:33.100528000 UTC","23.222.194.25","83","172.28.0.2","6","443","35478","693","0x0018"
"21","Mar 21, 2024 18:00:33.100826000 UTC","172.28.0.2","83","23.222.194.25","6","35478","443","5936","0x0018"
"22","Mar 21, 2024 18:00:33.102678000 UTC","23.222.194.25","52","172.28.0.2","6","443","35478","790","0x0010"
"23","Mar 21, 2024 18:00:33.159524000 UTC","23.222.194.25","52","172.28.0.2","6","443","35478","821","0x0010"
"24","Mar 21, 2024 18:00:33.286789000 UTC","23.222.194.25","347","172.28.0.2","6","443","35478","821","0x0018"
"25","Mar 21, 2024 18:00:33.286794000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35478","821","0x0018"
"26","Mar 21, 2024 18:00:33.286795000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35478","821","0x0018"
"27","Mar 21, 2024 18:00:33.286797000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35478","821","0x0018"
"28","Mar 21, 2024 18:00:33.286798000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35478","821","0x0018"
"29","Mar 21, 2024 18:00:33.287252000 UTC","172.28.0.2","52","23.222.194.25","6","35478","443","17815","0x0010"
"30","Mar 21, 2024 18:00:33.287649000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35478","821","0x0018"
"31","Mar 21, 2024 18:00:33.287741000 UTC","172.28.0.2","52","23.222.194.25","6","35478","443","20711","0x0010"
"32","Mar 21, 2024 18:00:33.288573000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35478","821","0x0018"
"33","Mar 21, 2024 18:00:33.288661000 UTC","172.28.0.2","52","23.222.194.25","6","35478","443","23607","0x0010"
"34","Mar 21, 2024 18:00:33.289385000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35478","821","0x0018"
"35","Mar 21, 2024 18:00:33.289496000 UTC","172.28.0.2","52","23.222.194.25","6","35478","443","26503","0x0010"
"36","Mar 21, 2024 18:00:33.290298000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35478","821","0x0018"
"37","Mar 21, 2024 18:00:33.290397000 UTC","172.28.0.2","52","23.222.194.25","6","35478","443","29399","0x0010"
"38","Mar 21, 2024 18:00:33.291161000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35478","821","0x0018"
"39","Mar 21, 2024 18:00:33.291247000 UTC","172.28.0.2","52","23.222.194.25","6","35478","443","32295","0x0010"
"40","Mar 21, 2024 18:00:33.292458000 UTC","23.222.194.25","1500","172.28.0.2","6","443","35478","821","0x0010"
"41","Mar 21, 2024 18:00:33.292541000 UTC","172.28.0.2","52","23.222.194.25","6","35478","443","33743","0x0010"
"42","Mar 21, 2024 18:00:33.304811000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35478","821","0x0018"
"43","Mar 21, 2024 18:00:33.304986000 UTC","172.28.0.2","52","23.222.194.25","6","35478","443","36639","0x0010"
"44","Mar 21, 2024 18:00:33.305098000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35478","821","0x0018"
"45","Mar 21, 2024 18:00:33.305142000 UTC","172.28.0.2","52","23.222.194.25","6","35478","443","39535","0x0010"
"46","Mar 21, 2024 18:00:33.305823000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35478","821","0x0018"
"47","Mar 21, 2024 18:00:33.305936000 UTC","172.28.0.2","52","23.222.194.25","6","35478","443","42431","0x0010"
"48","Mar 21, 2024 18:00:33.306669000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35478","821","0x0018"
"49","Mar 21, 2024 18:00:33.306765000 UTC","172.28.0.2","52","23.222.194.25","6","35478","443","45327","0x0010"
"50","Mar 21, 2024 18:00:33.307637000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35478","821","0x0018"
"51","Mar 21, 2024 18:00:33.307735000 UTC","172.28.0.2","52","23.222.194.25","6","35478","443","48223","0x0010"
"52","Mar 21, 2024 18:00:33.308427000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35478","821","0x0018"
"53","Mar 21, 2024 18:00:33.308499000 UTC","172.28.0.2","52","23.222.194.25","6","35478","443","51119","0x0010"
"54","Mar 21, 2024 18:00:33.309374000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35478","821","0x0018"
"55","Mar 21, 2024 18:00:33.309490000 UTC","172.28.0.2","52","23.222.194.25","6","35478","443","54015","0x0010"
"56","Mar 21, 2024 18:00:33.310296000 UTC","23.222.194.25","1500","172.28.0.2","6","443","35478","821","0x0010"
"57","Mar 21, 2024 18:00:33.310394000 UTC","172.28.0.2","52","23.222.194.25","6","35478","443","55463","0x0010"
"58","Mar 21, 2024 18:00:33.310569000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35478","821","0x0018"
"59","Mar 21, 2024 18:00:33.310636000 UTC","172.28.0.2","52","23.222.194.25","6","35478","443","58359","0x0010"
"60","Mar 21, 2024 18:00:33.311354000 UTC","23.222.194.25","763","172.28.0.2","6","443","35478","821","0x0018"
"61","Mar 21, 2024 18:00:33.320581000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35478","821","0x0018"
"62","Mar 21, 2024 18:00:33.320793000 UTC","172.28.0.2","52","23.222.194.25","6","35478","443","61966","0x0010"
"63","Mar 21, 2024 18:00:33.320929000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35478","821","0x0018"
"64","Mar 21, 2024 18:00:33.320994000 UTC","172.28.0.2","52","23.222.194.25","6","35478","443","64862","0x0010"
"65","Mar 21, 2024 18:00:33.321728000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35478","821","0x0018"
"66","Mar 21, 2024 18:00:33.321821000 UTC","172.28.0.2","52","23.222.194.25","6","35478","443","67758","0x0010"
"67","Mar 21, 2024 18:00:33.322642000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35478","821","0x0018"
"68","Mar 21, 2024 18:00:33.322736000 UTC","172.28.0.2","52","23.222.194.25","6","35478","443","70654","0x0010"
"69","Mar 21, 2024 18:00:33.323392000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35478","821","0x0018"
"70","Mar 21, 2024 18:00:33.323475000 UTC","172.28.0.2","52","23.222.194.25","6","35478","443","73550","0x0010"
"71","Mar 21, 2024 18:00:33.324102000 UTC","23.222.194.25","2009","172.28.0.2","6","443","35478","821","0x0018"
"72","Mar 21, 2024 18:00:33.324170000 UTC","172.28.0.2","52","23.222.194.25","6","35478","443","75507","0x0010"
"73","Mar 21, 2024 18:00:33.329662000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35478","821","0x0018"
"74","Mar 21, 2024 18:00:33.329870000 UTC","172.28.0.2","52","23.222.194.25","6","35478","443","78403","0x0010"
"75","Mar 21, 2024 18:00:33.330164000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35478","821","0x0018"
"76","Mar 21, 2024 18:00:33.330253000 UTC","172.28.0.2","52","23.222.194.25","6","35478","443","81299","0x0010"
"77","Mar 21, 2024 18:00:33.330779000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35478","821","0x0018"
"78","Mar 21, 2024 18:00:33.330851000 UTC","172.28.0.2","52","23.222.194.25","6","35478","443","84195","0x0010"
"79","Mar 21, 2024 18:00:33.331487000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35478","821","0x0018"
"80","Mar 21, 2024 18:00:33.331557000 UTC","172.28.0.2","52","23.222.194.25","6","35478","443","87091","0x0010"
"81","Mar 21, 2024 18:00:33.332321000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35478","821","0x0018"
"82","Mar 21, 2024 18:00:33.332415000 UTC","172.28.0.2","52","23.222.194.25","6","35478","443","89987","0x0010"
"83","Mar 21, 2024 18:00:33.333029000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35478","821","0x0018"
"84","Mar 21, 2024 18:00:33.333117000 UTC","172.28.0.2","52","23.222.194.25","6","35478","443","92883","0x0010"
"85","Mar 21, 2024 18:00:33.333780000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35478","821","0x0018"
"86","Mar 21, 2024 18:00:33.333851000 UTC","172.28.0.2","52","23.222.194.25","6","35478","443","95779","0x0010"
"87","Mar 21, 2024 18:00:33.334553000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35478","821","0x0018"
"88","Mar 21, 2024 18:00:33.334621000 UTC","172.28.0.2","52","23.222.194.25","6","35478","443","98675","0x0010"
"89","Mar 21, 2024 18:00:33.335275000 UTC","23.222.194.25","2948","172.28.0.2","6","443","35478","821","0x0018"
"90","Mar 21, 2024 18:00:33.335369000 UTC","172.28.0.2","52","23.222.194.25","6","35478","443","101571","0x0010"
