frame.number,frame.time,ip.src,ip.len,ip.dst,ip.proto,tcp.srcport,tcp.dstport,tcp.ack,tcp.flags
"1","Mar 21, 2024 18:00:40.439443000 UTC","172.28.0.2","60","192.0.66.32","6","33220","443","0","0x0002"
"2","Mar 21, 2024 18:00:40.452222000 UTC","192.0.66.32","52","172.28.0.2","6","443","33220","1","0x0012"
"3","Mar 21, 2024 18:00:40.452415000 UTC","172.28.0.2","40","192.0.66.32","6","33220","443","1","0x0010"
"4","Mar 21, 2024 18:00:40.455153000 UTC","172.28.0.2","557","192.0.66.32","6","33220","443","1","0x0018"
"5","Mar 21, 2024 18:00:40.467229000 UTC","192.0.66.32","40","172.28.0.2","6","443","33220","518","0x0010"
"6","Mar 21, 2024 18:00:40.468308000 UTC","192.0.66.32","2960","172.28.0.2","6","443","33220","518","0x0018"
"7","Mar 21, 2024 18:00:40.468440000 UTC","172.28.0.2","40","192.0.66.32","6","33220","443","2921","0x0010"
"8","Mar 21, 2024 18:00:40.468310000 UTC","192.0.66.32","1216","172.28.0.2","6","443","33220","518","0x0018"
"9","Mar 21, 2024 18:00:40.468517000 UTC","172.28.0.2","40","192.0.66.32","6","33220","443","4097","0x0010"
"10","Mar 21, 2024 18:00:40.468569000 UTC","192.0.66.32","88","172.28.0.2","6","443","33220","518","0x0018"
"11","Mar 21, 2024 18:00:40.468623000 UTC","172.28.0.2","40","192.0.66.32","6","33220","443","4145","0x0010"
"12","Mar 21, 2024 18:00:40.471098000 UTC","172.28.0.2","120","192.0.66.32","6","33220","443","4145","0x0018"
"13","Mar 21, 2024 18:00:40.471372000 UTC","172.28.0.2","86","192.0.66.32","6","33220","443","4145","0x0018"
"14","Mar 21, 2024 18:00:40.471447000 UTC","172.28.0.2","89","192.0.66.32","6","33220","443","4145","0x0018"
"15","Mar 21, 2024 18:00:40.471496000 UTC","172.28.0.2","75","192.0.66.32","6","33220","443","4145","0x0018"
"16","Mar 21, 2024 18:00:40.471565000 UTC","172.28.0.2","102","192.0.66.32","6","33220","443","4145","0x0018"
"17","Mar 21, 2024 18:00:40.483305000 UTC","192.0.66.32","327","172.28.0.2","6","443","33220","598","0x0018"
"18","Mar 21, 2024 18:00:40.483307000 UTC","192.0.66.32","327","172.28.0.2","6","443","33220","598","0x0018"
"19","Mar 21, 2024 18:00:40.483308000 UTC","192.0.66.32","102","172.28.0.2","6","443","33220","598","0x0018"
"20","Mar 21, 2024 18:00:40.483597000 UTC","192.0.66.32","40","172.28.0.2","6","443","33220","728","0x0010"
"21","Mar 21, 2024 18:00:40.483598000 UTC","192.0.66.32","71","172.28.0.2","6","443","33220","728","0x0018"
"22","Mar 21, 2024 18:00:40.483888000 UTC","192.0.66.32","528","172.28.0.2","6","443","33220","790","0x0018"
"23","Mar 21, 2024 18:00:40.483971000 UTC","172.28.0.2","71","192.0.66.32","6","33220","443","5300","0x0018"
"24","Mar 21, 2024 18:00:40.484423000 UTC","172.28.0.2","64","192.0.66.32","6","33220","443","5300","0x0018"
"25","Mar 21, 2024 18:00:40.484589000 UTC","172.28.0.2","40","192.0.66.32","6","33220","443","5300","0x0011"
"26","Mar 21, 2024 18:00:40.496491000 UTC","192.0.66.32","40","172.28.0.2","6","443","33220","845","0x0010"
"27","Mar 21, 2024 18:00:40.496493000 UTC","192.0.66.32","40","172.28.0.2","6","443","33220","845","0x0011"
"28","Mar 21, 2024 18:00:40.496720000 UTC","172.28.0.2","40","192.0.66.32","6","33220","443","5301","0x0010"
"29","Mar 21, 2024 18:00:40.496779000 UTC","192.0.66.32","40","172.28.0.2","6","443","33220","846","0x0010"
"30","Mar 21, 2024 18:02:01.909595000 UTC","172.28.0.2","60","192.0.66.32","6","55878","443","0","0x0002"
"31","Mar 21, 2024 18:02:01.922384000 UTC","192.0.66.32","52","172.28.0.2","6","443","55878","1","0x0012"
"32","Mar 21, 2024 18:02:01.922592000 UTC","172.28.0.2","40","192.0.66.32","6","55878","443","1","0x0010"
"33","Mar 21, 2024 18:02:01.925419000 UTC","172.28.0.2","557","192.0.66.32","6","55878","443","1","0x0018"
"34","Mar 21, 2024 18:02:01.937587000 UTC","192.0.66.32","40","172.28.0.2","6","443","55878","518","0x0010"
"35","Mar 21, 2024 18:02:01.939118000 UTC","192.0.66.32","2960","172.28.0.2","6","443","55878","518","0x0018"
"36","Mar 21, 2024 18:02:01.939279000 UTC","172.28.0.2","40","192.0.66.32","6","55878","443","2921","0x0010"
"37","Mar 21, 2024 18:02:01.939120000 UTC","192.0.66.32","1216","172.28.0.2","6","443","55878","518","0x0018"
"38","Mar 21, 2024 18:02:01.939371000 UTC","172.28.0.2","40","192.0.66.32","6","55878","443","4097","0x0010"
"39","Mar 21, 2024 18:02:01.939121000 UTC","192.0.66.32","88","172.28.0.2","6","443","55878","518","0x0018"
"40","Mar 21, 2024 18:02:01.939447000 UTC","172.28.0.2","40","192.0.66.32","6","55878","443","4145","0x0010"
