frame.number,frame.time,ip.src,ip.len,ip.dst,ip.proto,tcp.srcport,tcp.dstport,tcp.ack,tcp.flags
"1","Mar 21, 2024 18:05:59.104836000 UTC","172.28.0.2","60","89.191.237.192","6","54908","443","0","0x0002"
"2","Mar 21, 2024 18:05:59.230315000 UTC","89.191.237.192","60","172.28.0.2","6","443","54908","1","0x0012"
"3","Mar 21, 2024 18:05:59.230560000 UTC","172.28.0.2","52","89.191.237.192","6","54908","443","1","0x0010"
"4","Mar 21, 2024 18:05:59.233879000 UTC","172.28.0.2","569","89.191.237.192","6","54908","443","1","0x0018"
"5","Mar 21, 2024 18:05:59.358764000 UTC","89.191.237.192","52","172.28.0.2","6","443","54908","518","0x0010"
"6","Mar 21, 2024 18:05:59.360276000 UTC","89.191.237.192","3189","172.28.0.2","6","443","54908","518","0x0018"
"7","Mar 21, 2024 18:05:59.360543000 UTC","172.28.0.2","52","89.191.237.192","6","54908","443","3138","0x0010"
"8","Mar 21, 2024 18:05:59.364777000 UTC","172.28.0.2","132","89.191.237.192","6","54908","443","3138","0x0018"
"9","Mar 21, 2024 18:05:59.365196000 UTC","172.28.0.2","98","89.191.237.192","6","54908","443","3138","0x0018"
"10","Mar 21, 2024 18:05:59.365377000 UTC","172.28.0.2","101","89.191.237.192","6","54908","443","3138","0x0018"
"11","Mar 21, 2024 18:05:59.365488000 UTC","172.28.0.2","87","89.191.237.192","6","54908","443","3138","0x0018"
"12","Mar 21, 2024 18:05:59.365610000 UTC","172.28.0.2","111","89.191.237.192","6","54908","443","3138","0x0018"
"13","Mar 21, 2024 18:05:59.489359000 UTC","89.191.237.192","339","172.28.0.2","6","443","54908","598","0x0018"
"14","Mar 21, 2024 18:05:59.489694000 UTC","89.191.237.192","339","172.28.0.2","6","443","54908","598","0x0018"
"15","Mar 21, 2024 18:05:59.489696000 UTC","89.191.237.192","114","172.28.0.2","6","443","54908","644","0x0018"
"16","Mar 21, 2024 18:05:59.489875000 UTC","89.191.237.192","52","172.28.0.2","6","443","54908","728","0x0010"
"17","Mar 21, 2024 18:05:59.489876000 UTC","89.191.237.192","83","172.28.0.2","6","443","54908","728","0x0018"
"18","Mar 21, 2024 18:05:59.490054000 UTC","89.191.237.192","2948","172.28.0.2","6","443","54908","787","0x0010"
"19","Mar 21, 2024 18:05:59.490150000 UTC","89.191.237.192","5844","172.28.0.2","6","443","54908","787","0x0010"
"20","Mar 21, 2024 18:05:59.490279000 UTC","172.28.0.2","52","89.191.237.192","6","54908","443","12493","0x0010"
"21","Mar 21, 2024 18:05:59.490665000 UTC","172.28.0.2","83","89.191.237.192","6","54908","443","12493","0x0018"
"22","Mar 21, 2024 18:05:59.614964000 UTC","89.191.237.192","29012","172.28.0.2","6","443","54908","787","0x0010"
"23","Mar 21, 2024 18:05:59.615430000 UTC","172.28.0.2","52","89.191.237.192","6","54908","443","41453","0x0010"
"24","Mar 21, 2024 18:05:59.654538000 UTC","89.191.237.192","52","172.28.0.2","6","443","54908","818","0x0010"
