frame.number,frame.time,ip.src,ip.len,ip.dst,ip.proto,tcp.srcport,tcp.dstport,tcp.ack,tcp.flags
"1","Mar 21, 2024 17:54:22.466462000 UTC","172.28.0.2","60","104.110.141.47","6","52922","443","0","0x0002"
"2","Mar 21, 2024 17:54:22.478000000 UTC","104.110.141.47","60","172.28.0.2","6","443","52922","1","0x0012"
"3","Mar 21, 2024 17:54:22.478147000 UTC","172.28.0.2","52","104.110.141.47","6","52922","443","1","0x0010"
"4","Mar 21, 2024 17:54:22.481264000 UTC","172.28.0.2","569","104.110.141.47","6","52922","443","1","0x0018"
"5","Mar 21, 2024 17:54:22.492215000 UTC","104.110.141.47","52","172.28.0.2","6","443","52922","518","0x0010"
"6","Mar 21, 2024 17:54:22.767928000 UTC","104.110.141.47","2948","172.28.0.2","6","443","52922","518","0x0018"
"7","Mar 21, 2024 17:54:22.768152000 UTC","172.28.0.2","52","104.110.141.47","6","52922","443","2897","0x0010"
"8","Mar 21, 2024 17:54:22.767931000 UTC","104.110.141.47","1252","172.28.0.2","6","443","52922","518","0x0018"
"9","Mar 21, 2024 17:54:22.768227000 UTC","172.28.0.2","52","104.110.141.47","6","52922","443","4097","0x0010"
"10","Mar 21, 2024 17:54:22.769620000 UTC","104.110.141.47","1500","172.28.0.2","6","443","52922","518","0x0010"
"11","Mar 21, 2024 17:54:22.769706000 UTC","172.28.0.2","52","104.110.141.47","6","52922","443","5545","0x0010"
"12","Mar 21, 2024 17:54:22.779059000 UTC","104.110.141.47","214","172.28.0.2","6","443","52922","518","0x0018"
"13","Mar 21, 2024 17:54:22.779215000 UTC","172.28.0.2","52","104.110.141.47","6","52922","443","5707","0x0010"
"14","Mar 21, 2024 17:54:22.779706000 UTC","172.28.0.2","132","104.110.141.47","6","52922","443","5707","0x0018"
"15","Mar 21, 2024 17:54:22.779883000 UTC","172.28.0.2","158","104.110.141.47","6","52922","443","5707","0x0018"
"16","Mar 21, 2024 17:54:22.790555000 UTC","104.110.141.47","52","172.28.0.2","6","443","52922","598","0x0010"
"17","Mar 21, 2024 17:54:22.790688000 UTC","104.110.141.47","52","172.28.0.2","6","443","52922","704","0x0010"
"18","Mar 21, 2024 17:54:22.807273000 UTC","104.110.141.47","339","172.28.0.2","6","443","52922","704","0x0018"
"19","Mar 21, 2024 17:54:22.807455000 UTC","104.110.141.47","339","172.28.0.2","6","443","52922","704","0x0018"
"20","Mar 21, 2024 17:54:22.807664000 UTC","172.28.0.2","52","104.110.141.47","6","52922","443","6281","0x0010"
"21","Mar 21, 2024 17:54:22.814183000 UTC","104.110.141.47","647","172.28.0.2","6","443","52922","704","0x0018"
"22","Mar 21, 2024 17:54:22.814707000 UTC","172.28.0.2","76","104.110.141.47","6","52922","443","6876","0x0018"
"23","Mar 21, 2024 17:54:22.814925000 UTC","172.28.0.2","52","104.110.141.47","6","52922","443","6876","0x0011"
"24","Mar 21, 2024 17:54:22.828097000 UTC","104.110.141.47","76","172.28.0.2","6","443","52922","729","0x0018"
"25","Mar 21, 2024 17:54:22.828232000 UTC","172.28.0.2","40","104.110.141.47","6","52922","443","0","0x0004"
"26","Mar 21, 2024 17:54:22.828099000 UTC","104.110.141.47","52","172.28.0.2","6","443","52922","729","0x0011"
"27","Mar 21, 2024 17:54:22.828275000 UTC","172.28.0.2","40","104.110.141.47","6","52922","443","0","0x0004"
"28","Mar 21, 2024 17:55:52.696676000 UTC","172.28.0.2","60","104.110.141.47","6","43930","443","0","0x0002"
"29","Mar 21, 2024 17:55:52.708014000 UTC","104.110.141.47","60","172.28.0.2","6","443","43930","1","0x0012"
"30","Mar 21, 2024 17:55:52.708175000 UTC","172.28.0.2","52","104.110.141.47","6","43930","443","1","0x0010"
