frame.number,frame.time,ip.src,ip.len,ip.dst,ip.proto,tcp.srcport,tcp.dstport,tcp.ack,tcp.flags
"1","Mar 21, 2024 17:59:40.137029000 UTC","172.28.0.2","60","104.110.137.231","6","49538","443","0","0x0002"
"2","Mar 21, 2024 17:59:40.148584000 UTC","104.110.137.231","60","172.28.0.2","6","443","49538","1","0x0012"
"3","Mar 21, 2024 17:59:40.148793000 UTC","172.28.0.2","52","104.110.137.231","6","49538","443","1","0x0010"
"4","Mar 21, 2024 17:59:40.152565000 UTC","172.28.0.2","569","104.110.137.231","6","49538","443","1","0x0018"
"5","Mar 21, 2024 17:59:40.163533000 UTC","104.110.137.231","52","172.28.0.2","6","443","49538","518","0x0010"
"6","Mar 21, 2024 17:59:40.164958000 UTC","104.110.137.231","2948","172.28.0.2","6","443","49538","518","0x0018"
"7","Mar 21, 2024 17:59:40.165102000 UTC","172.28.0.2","52","104.110.137.231","6","49538","443","2897","0x0010"
"8","Mar 21, 2024 17:59:40.164961000 UTC","104.110.137.231","1164","172.28.0.2","6","443","49538","518","0x0018"
"9","Mar 21, 2024 17:59:40.165202000 UTC","172.28.0.2","52","104.110.137.231","6","49538","443","4009","0x0010"
"10","Mar 21, 2024 17:59:40.168130000 UTC","172.28.0.2","132","104.110.137.231","6","49538","443","4009","0x0018"
"11","Mar 21, 2024 17:59:40.168621000 UTC","172.28.0.2","98","104.110.137.231","6","49538","443","4009","0x0018"
"12","Mar 21, 2024 17:59:40.168744000 UTC","172.28.0.2","101","104.110.137.231","6","49538","443","4009","0x0018"
"13","Mar 21, 2024 17:59:40.168817000 UTC","172.28.0.2","87","104.110.137.231","6","49538","443","4009","0x0018"
"14","Mar 21, 2024 17:59:40.168908000 UTC","172.28.0.2","119","104.110.137.231","6","49538","443","4009","0x0018"
"15","Mar 21, 2024 17:59:40.192148000 UTC","104.110.137.231","339","172.28.0.2","6","443","49538","795","0x0018"
"16","Mar 21, 2024 17:59:40.192552000 UTC","104.110.137.231","339","172.28.0.2","6","443","49538","795","0x0018"
"17","Mar 21, 2024 17:59:40.192682000 UTC","172.28.0.2","52","104.110.137.231","6","49538","443","4583","0x0010"
"18","Mar 21, 2024 17:59:40.234990000 UTC","104.110.137.231","113","172.28.0.2","6","443","49538","795","0x0018"
"19","Mar 21, 2024 17:59:40.234992000 UTC","104.110.137.231","83","172.28.0.2","6","443","49538","795","0x0018"
"20","Mar 21, 2024 17:59:40.235262000 UTC","172.28.0.2","83","104.110.137.231","6","49538","443","4675","0x0018"
"21","Mar 21, 2024 17:59:40.286352000 UTC","104.110.137.231","52","172.28.0.2","6","443","49538","826","0x0010"
"22","Mar 21, 2024 17:59:49.213660000 UTC","104.110.137.231","1436","172.28.0.2","6","443","49538","826","0x0018"
"23","Mar 21, 2024 17:59:49.213663000 UTC","104.110.137.231","4396","172.28.0.2","6","443","49538","826","0x0018"
"24","Mar 21, 2024 17:59:49.213664000 UTC","104.110.137.231","4396","172.28.0.2","6","443","49538","826","0x0018"
"25","Mar 21, 2024 17:59:49.213665000 UTC","104.110.137.231","4396","172.28.0.2","6","443","49538","826","0x0018"
"26","Mar 21, 2024 17:59:49.214076000 UTC","172.28.0.2","52","104.110.137.231","6","49538","443","19091","0x0010"
"27","Mar 21, 2024 17:59:49.214380000 UTC","104.110.137.231","3426","172.28.0.2","6","443","49538","826","0x0018"
"28","Mar 21, 2024 17:59:49.214458000 UTC","172.28.0.2","52","104.110.137.231","6","49538","443","22465","0x0010"
"29","Mar 21, 2024 17:59:49.215076000 UTC","104.110.137.231","4396","172.28.0.2","6","443","49538","826","0x0018"
"30","Mar 21, 2024 17:59:49.215213000 UTC","172.28.0.2","52","104.110.137.231","6","49538","443","26809","0x0010"
"31","Mar 21, 2024 17:59:49.216021000 UTC","104.110.137.231","4396","172.28.0.2","6","443","49538","826","0x0018"
"32","Mar 21, 2024 17:59:49.216101000 UTC","172.28.0.2","52","104.110.137.231","6","49538","443","31153","0x0010"
"33","Mar 21, 2024 17:59:49.217060000 UTC","104.110.137.231","1500","172.28.0.2","6","443","49538","826","0x0010"
"34","Mar 21, 2024 17:59:49.217136000 UTC","172.28.0.2","52","104.110.137.231","6","49538","443","32601","0x0010"
